"",002
"Tue 16-Feb-21   5:28:30 pm"
"Energy Use","Hour"
"Meter","Mon","Day","Hr","Subhr","Tot","Clg","Htg","HPHtg","Dhw","DhwBU","DhwMFL","FanC","FanH","FanV","Fan","Aux","Proc","Lit","Rcp","Ext","Refr","Dish","Dry","Wash","Cook","User1","User2","BT","PV"
"MtrElec",1,1,1,"",15.9446,0,4.28392,2.06035,0,0,0.0330909,0,0.997903,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29578,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,2,"",16.4757,0,4.88847,2.35959,0,0,0.0330909,0,1.14446,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24293,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,1,3,"",17.2081,0,5.52364,2.6417,0,0,0.0330909,0,1.3031,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,4,"",18.014,0,6.00535,2.83743,0,0,0.0330909,0,1.42464,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,5,"",18.8034,0,6.59899,3.03083,0,0,0.0330909,0,1.57906,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,1,6,"",19.1304,0,6.51338,2.91841,0,0,0.0330909,0,1.55766,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,1,7,"",19.1092,0,5.62905,2.56187,0,0,0.0330909,0,1.3312,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.654821,0.0154218,0,0,0,0
"MtrElec",1,1,8,"",18.017,0,4.31979,2.07586,0,0,0.0330909,0,1.00557,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.276577,2.39027,0.0416388,0,0,0,-1.4294
"MtrElec",1,1,9,"",7.46661,0,2.81438,0.0933159,0.0264844,0,0.0330909,0,0.619854,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,0,1.00958,0.98054,0.0740246,0,0,0,-7.20587
"MtrElec",1,1,10,"",0.892966,0,0.41947,0,0.0264844,0,0.0330909,0,0.0886752,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.414151,5.67248,0.0740246,0,0,0,-13.3838
"MtrElec",1,1,11,"",-6.32328,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40268,0,2.39589,3.48997,0.0709402,0,0,0,-19.8661
"MtrElec",1,1,12,"",-12.299,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.43358,3.08103,1.47406,0.0386261,0.0848198,0,0,0,-24.4344
"MtrElec",1,1,13,"",-17.1319,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.4655,1.86899,0.0163145,0.514046,0.0971573,0,0,0,-26.9622
"MtrElec",1,1,14,"",-18.0184,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.48635,0,0.217118,0.369024,0.0909886,0,0,0,-26.1826
"MtrElec",1,1,15,"",-9.19504,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.46411,0,0.155865,0.673276,0.0956151,0,0,0,-17.8116
"MtrElec",1,1,16,"",-1.70532,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.51745,0,0.284372,0.208307,0.104868,0,0,0,-10.4213
"MtrElec",1,1,17,"",8.59745,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.47084,0,0.0879827,0.881776,0.140338,0,0,0,-1.33523
"MtrElec",1,1,18,"",10.6372,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.02752,6.47423,0.191669,1.56698,0,0.372436,0,0.214363,0,0,0,0
"MtrElec",1,1,19,"",11.8569,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.96163,6.95786,0.242108,1.70642,0,0,0,0.198941,0,0,0,0
"MtrElec",1,1,20,"",15.3121,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.73227,7.23308,0.302635,1.66748,2.47561,0,0,0.111037,0,0,0,0
"MtrElec",1,1,21,"",13.8929,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.63885,7.49676,0.418645,1.61707,0,0,0.882255,0.0493497,0,0,0,0
"MtrElec",1,1,22,"",12.8989,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.24186,7.42686,0.494303,1.5517,0,0.372638,0,0.0215905,0,0,0,0
"MtrElec",1,1,23,"",10.7511,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.47122,6.63975,0.428733,1.40757,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,1,24,"",9.11242,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.910755,5.66234,0.297591,1.44407,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,1,"",7.46923,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.537112,4.63532,0.23202,1.26711,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,2,2,"",8.63804,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.443701,4.22793,0.23202,1.24063,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,3,"",7.47184,0,0.0441669,0,0,0,0.0330909,0,0.00927356,0.756867,0,0,0,0.35029,4.06638,0.23202,1.19567,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,4,"",7.40551,0,0.62861,0,0,0,0.0330909,0,0.133348,0.756867,0,0,0,0.396996,4.04224,0.23202,1.17617,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,5,"",7.56618,0,0.873797,0,0,0,0.0330909,0,0.186766,0.756867,0,0,0,0.490407,3.85168,0.23202,1.13538,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,2,6,"",8.02766,0,0.796653,0,0,0,0.0330909,0,0.169946,0.756867,0,0,0,0.723934,4.17266,0.186625,1.16629,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,2,7,"",8.81752,0,0.621275,0,0,0,0.0330909,0,0.131897,0.756867,0,0,0,0.980813,4.75662,0.176537,1.33112,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,2,8,"",9.57487,0,0.842969,0,0,0,0.0330909,0,0.180185,0.756867,0,0,0,0.957461,5.11646,0.171493,1.47779,0,0,0,0.0385545,0,0,0,0
"MtrElec",1,2,9,"",9.62803,0,0.920158,0,0,0,0.0330909,0,0.196419,0.756867,0,0,0,0.793992,4.74336,0.166449,1.4276,0,0,0.628229,0.0400967,0,0,0,-0.0782394
"MtrElec",1,2,10,"",8.2018,0,0.641523,0,0,0,0.0330909,0,0.134744,0.756867,0,0,0,0.677228,4.45277,0.14123,1.3053,0,0.265345,0.253982,0.0339279,0,0,0,-0.494203
"MtrElec",1,2,11,"",5.29856,0,0.214651,0,0,0,0.0330909,0,0.0442259,0.756867,0,0,0,0.630523,4.50554,0.110966,1.26954,0,0.107274,0,0.0323858,0,0,0,-2.4065
"MtrElec",1,2,12,"",5.40734,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.583817,4.50554,0.0756587,1.28719,0,0,0.882056,0.0447232,0,0,0,-2.7616
"MtrElec",1,2,13,"",4.71767,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.51254,0.060527,1.33881,0,0.372554,0,0.0539763,0,0,0,-2.9011
"MtrElec",1,2,14,"",6.34464,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.61395,0.055483,1.30629,0,0,1.76392,0.0493497,0,0,0,-2.72471
"MtrElec",1,2,15,"",5.66742,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.7811,0.055483,1.33938,0,0.745026,0,0.0524341,0,0,0,-2.58637
"MtrElec",1,2,16,"",5.51266,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,0.60717,4.9234,0.060527,1.3487,0,0,0,0.0801933,0,0,0,-2.29729
"MtrElec",1,2,17,"",8.24892,0,0.0235096,0,0,0,0.0330909,0,0.00492336,0.756867,0,0,0,0.723934,5.56121,0.0958344,1.37114,0,0,0,0.177351,0,0,0,-0.498939
"MtrElec",1,2,18,"",10.4319,0,0.187689,0,0,0,0.0330909,0,0.0392581,0.756867,0,0,0,1.02752,6.40183,0.186625,1.50135,0,0,0,0.297641,0,0,0,0
"MtrElec",1,2,19,"",15.307,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.96163,6.96974,0.247152,1.63844,3.4225,0,0,0.277592,0,0,0,0
"MtrElec",1,2,20,"",14.5126,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.73227,7.32996,0.327854,1.65593,1.52552,0,0,0.151134,0,0,0,0
"MtrElec",1,2,21,"",13.1617,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.63885,7.6419,0.458996,1.56718,0,0,0,0.0647715,0,0,0,0
"MtrElec",1,2,22,"",12.7121,0,0.0413898,0,0,0,0.0330909,0,0.00865375,0.756867,0,0,0,2.24186,7.58459,0.529611,1.48517,0,0,0,0.0308436,0,0,0,0
"MtrElec",1,2,23,"",11.5833,0,0.606838,0,0,0,0.0330909,0,0.128632,0.756867,0,0,0,1.47122,6.72474,0.458996,1.3844,0,0,0,0.0185061,0,0,0,0
"MtrElec",1,2,24,"",10.3812,0,1.0931,0,0,0,0.0330909,0,0.235388,0.756867,0,0,0,0.910755,5.76204,0.317767,1.25673,0,0,0,0.0154218,0,0,0,0
"MtrElec",1,3,1,"",9.48477,0,1.61956,0,0,0,0.0330909,0,0.35189,0.756867,0,0,0,0.537112,4.64792,0.23202,1.29861,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,2,"",10.0603,0,2.51998,0,0,0,0.0330909,0,0.54855,0.756867,0,0,0,0.443701,4.27654,0.23202,1.2434,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,3,3,"",10.4152,0,3.09062,0,0,0,0.0330909,0,0.676801,0.756867,0,0,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,4,"",12.0307,0,3.51121,0,0,0,0.0330909,0,0.77289,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,5,"",12.4179,0,3.9491,0,0,0,0.0330909,0,0.874215,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,3,6,"",12.8035,0,3.81805,0,0,0,0.0330909,0,0.844518,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,3,7,"",13.9921,0,3.01327,0,0,0,0.0330909,0,0.660766,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,1.38578,0.0154218,0,0,0,0
"MtrElec",1,3,8,"",5.86039,0,1.09671,0,0.0264844,0,0.0330909,0,0.235551,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,0,0.585314,1.45432,0.0416388,0,0,0,-6.91635
"MtrElec",1,3,9,"",-5.76168,0,0.130387,0,0.0264844,0,0.0330909,0,0.0275054,0.756867,0,0,0,0.793992,4.71994,0.181581,1.47695,0,0.614262,2.45266,0.0740246,0,0,0,-17.0494
"MtrElec",1,3,10,"",-16.5075,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.677228,4.53847,0.151317,1.4261,0,1.03593,0.364414,0.0740246,0,0,0,-25.5915
"MtrElec",1,3,11,"",-22.1103,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.630523,4.61538,0.121054,1.4061,0,0.153917,1.32043,0.0709402,0,0,0,-31.2451
"MtrElec",1,3,12,"",-24.2786,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.43202,0,0.557711,1.39571,0.0848198,0,0,0,-33.7721
"MtrElec",1,3,13,"",-24.8213,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.45914,0,0.589505,0.448594,0.0971573,0,0,0,-33.284
"MtrElec",1,3,14,"",-21.201,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.47922,0,0.189473,0.88202,0.0909886,0,0,0,-29.8435
"MtrElec",1,3,15,"",-15.5505,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.45678,0,0.372539,0,0.0956151,0,0,0,-23.7031
"MtrElec",1,3,16,"",-5.4392,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.5119,0,0,1.292,0.104868,0,0,0,-14.9489
"MtrElec",1,3,17,"",5.42284,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.46194,0,0.545702,0.472187,0.140338,0,0,0,-4.57555
"MtrElec",1,3,18,"",10.4564,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.02752,6.47423,0.191669,1.55925,0,0.199438,0,0.214363,0,0,0,0
"MtrElec",1,3,19,"",11.8502,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.96163,6.95786,0.242108,1.69969,0,0,0,0.198941,0,0,0,0
"MtrElec",1,3,20,"",14.2805,0,0,0,0,0,0.0330909,0,0,0.756867,0,1.09188,0,2.73227,7.23308,0.302635,1.65775,0,0,0.361887,0.111037,0,0,0,0
"MtrElec",1,3,21,"",14.7615,0,0,0,0,0,0.0330909,0,0,0.756867,0,1.09188,0,2.63885,7.49676,0.418645,1.6031,0,0.15285,0.520064,0.0493497,0,0,0,0
"MtrElec",1,3,22,"",14.2208,0,0.328591,0,0,0,0.0330909,0,0.0703117,0.756867,0,1.09188,0,2.24186,7.42686,0.494303,1.53576,0,0.219659,0,0.0215905,0,0,0,0
"MtrElec",1,3,23,"",13.2689,0,1.19021,0,0,0,0.0330909,0,0.260105,0.756867,0,1.09188,0,1.47122,6.63975,0.428733,1.38315,0,0,0,0.0138796,0,0,0,0
"MtrElec",1,3,24,"",12.4394,0,1.83952,0,0,0,0.0330909,0,0.410939,0.756867,0,1.09188,0,0.910755,5.66234,0.297591,1.42875,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,1,"",12.4095,0,3.10744,0,0,0,0.0330909,0,0.697249,0.756867,0,1.09188,0,0.537112,4.64792,0.23202,1.29825,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,2,"",15.0129,0,4.16885,1.79614,0,0,0.0330909,0,0.964667,0.756867,0,1.09188,0,0.443701,4.27654,0.23202,1.24298,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,4,3,"",16.4146,0,5.02502,2.47111,0,0,0.0330909,0,1.17877,0.756867,0,1.09188,0,0.35029,4.05412,0.226976,1.22181,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,4,"",17.5003,0,5.67978,2.7306,0,0,0.0330909,0,1.34334,0.756867,0,1.09188,0,0.396996,4.04258,0.226976,1.19355,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,5,"",18.366,0,6.30522,2.96248,0,0,0.0330909,0,1.50371,0.756867,0,1.09188,0,0.490407,3.83942,0.23202,1.14624,0,0,0,0.00462654,0,0,0,0
"MtrElec",1,4,6,"",18.884,0,6.34198,2.88688,0,0,0.0330909,0,1.51426,0.756867,0,1.09188,0,0.723934,4.16041,0.226976,1.14005,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,4,7,"",19.3656,0,5.89469,2.63787,0,0,0.0330909,0,1.39697,0.756867,0,1.09188,0,0.980813,4.67234,0.221932,1.15989,0,0,0.503799,0.0154218,0,0,0,0
"MtrElec",1,4,8,"",10.3619,0,3.57044,1.64018,0.0264844,0,0.0330909,0,0.820302,0.756867,0,1.09188,0,0.957461,5.01958,0.2068,1.27103,1.15916,0.21279,0.768643,0.0416388,0,0,0,-7.21444
"MtrElec",1,4,9,"",-4.206,0,1.32409,0.173652,0.0264844,0,0.0330909,0,0.288873,0.756867,0,1.09188,0,0.793992,4.71994,0.181581,1.47694,1.31639,0.324652,0.491988,0.0740246,0,0,0,-17.2804
"MtrElec",1,4,10,"",-16.6153,0,0.354696,0,0.0264844,0,0.0330909,0,0.0750372,0.756867,0,0,0,0.677228,4.53847,0.151317,1.42455,0,0.207801,0,0.0740246,0,0,0,-24.9349
"MtrElec",1,4,11,"",-22.0881,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.630523,4.61538,0.121054,1.40222,0,0,0,0.0709402,0,0,0,-29.7446
"MtrElec",1,4,12,"",-23.4741,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.583817,4.54226,0.0807026,1.42748,1.15919,0,0,0.0848198,0,0,0,-32.1688
"MtrElec",1,4,13,"",-22.891,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.501,0.060527,1.45609,1.31657,0,0,0.0971573,0,0,0,-31.6292
"MtrElec",1,4,14,"",-21.2468,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.63842,0.055483,1.47927,0,0,0,0.0909886,0,0,0,-28.8178
"MtrElec",1,4,15,"",-14.3953,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.86538,0.055483,1.45865,0,0,1.16947,0.0956151,0,0,0,-23.3467
"MtrElec",1,4,16,"",-5.58431,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.60717,5.1168,0.060527,1.51452,0,0.493951,0.5946,0.104868,0,0,0,-14.8932
"MtrElec",1,4,17,"",4.63016,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.723934,5.74202,0.0958344,1.46853,0,0.251141,0,0.140338,0,0,0,-4.60808
"MtrElec",1,4,18,"",10.2636,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.02752,6.47423,0.191669,1.56585,0,0,0,0.214363,0,0,0,0
"MtrElec",1,4,19,"",11.8547,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.96163,6.95786,0.242108,1.70417,0,0,0,0.198941,0,0,0,0
"MtrElec",1,4,20,"",12.832,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.73227,7.23308,0.302635,1.66299,0,0,0,0.111037,0,0,0,0
"MtrElec",1,4,21,"",14.4032,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.63885,7.49676,0.418645,1.60884,1.27111,0,0.129719,0.0493497,0,0,0,0
"MtrElec",1,4,22,"",15.6194,0,0,0,0,0,0.0330909,0,0,0.756867,0,1.09188,0,2.24186,7.42686,0.494303,1.54236,1.20354,0.0547896,0.752216,0.0215905,0,0,0,0
"MtrElec",1,4,23,"",13.3582,0,0.271409,0,0,0,0.0330909,0,0.0580179,0.756867,0,1.09188,0,1.47122,6.63975,0.428733,1.39356,0,0.317714,0.882053,0.0138796,0,0,0,0
"MtrElec",1,4,24,"",12.048,0,1.21523,0,0,0,0.0330909,0,0.265177,0.756867,0,1.09188,0,0.910755,5.66234,0.297591,1.43479,0,0.372553,0,0.00771089,0,0,0,0
"MtrElec",1,5,1,"",10.725,0,1.78042,0,0,0,0.0330909,0,0.396112,0.756867,0,1.09188,0,0.537112,4.63532,0.23202,1.25449,0,0,0,0.00771089,0,0,0,0
"MtrElec",1,5,2,"",12.4096,0,2.19424,0,0,0,0.0330909,0,0.495653,0.756867,0,1.09188,0,0.443701,4.22793,0.23202,1.23036,1.69764,0,0,0.00616872,0,0,0,0
"MtrElec",1,5,3,"",12.0932,0,2.9281,0,0,0,0.0330909,0,0.664925,0.756867,0,1.09188,0,0.35029,4.06638,0.23202,1.18558,0.777912,0,0,0.00616872,0,0,0,0
"MtrElec",1,5,4,"",14.5864,0,4.12292,1.77992,0,0,0.0330909,0,0.957106,0.756867,0,1.09188,0,0.396996,4.04224,0.23202,1.16714,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,5,5,"",16.0188,0,4.88577,2.39612,0,0,0.0330909,0,1.14715,0.756867,0,1.09188,0,0.490407,3.85168,0.23202,1.12767,0,0,0,0.00616872,0,0,0,0
"MtrElec",1,5,6,"",16.7258,0,5.01857,2.38145,0,0,0.0330909,0,1.17969,0.756867,0,1.09188,0,0.723934,4.17266,0.186625,1.15942,0,0,0,0.0215905,0,0,0,0
"MtrElec",1,5,7,"",17.1473,0,4.69814,2.19844,0,0,0.0330909,0,1.09882,0.756867,0,1.09188,0,0.980813,4.75662,0.176537,1.32675,0,0,0,0.0293014,0,0,0,0
"MtrElec",1,5,8,"",11.741,0,3.93939,1.23714,0,0,0.0330909,0,0.899216,0.756867,0,1.09188,0,0.957461,5.11646,0.171493,1.47471,0,0,0,0.0385545,0,0,0,-3.97527
"MtrElec",1,5,9,"",-0.243937,0,1.97282,0,0.0264844,0,0.0330909,0,0.427182,0.756867,0,1.09188,0,0.793992,4.74336,0.166449,1.42486,0,0,0.628229,0.0400967,0,0,0,-12.3493
"MtrElec",1,5,10,"",-12.5057,0,0.165463,0,0.0264844,0,0.0330909,0,0.0347087,0.756867,0,0,0,0.677228,4.45277,0.14123,1.3031,0,0.265345,0.253982,0.0339279,0,0,0,-20.6498
"MtrElec",1,5,11,"",-15.9123,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.630523,4.50554,0.110966,1.26791,0,0.107274,0,0.0323858,0,0,0,-23.3834
"MtrElec",1,5,12,"",-23.2637,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.583817,4.50554,0.0756587,1.28823,0,0,0,0.0447232,0,0,0,-30.5782
"MtrElec",1,5,13,"",-23.1679,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.51254,0.060527,1.34431,0,0,0,0.0539763,0,0,0,-30.4461
"MtrElec",1,5,14,"",-19.4725,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.61395,0.055483,1.31765,0,0,0.881958,0.0493497,0,0,0,-27.6978
"MtrElec",1,5,15,"",-14.32,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.490407,4.7811,0.055483,1.35363,0,0.372513,0,0.0524341,0,0,0,-22.242
"MtrElec",1,5,16,"",-6.25845,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.60717,4.9234,0.060527,1.37076,0,0,0,0.0801933,0,0,0,-14.1169
"MtrElec",1,5,17,"",4.35323,0,0,0,0.0264844,0,0.0330909,0,0,0.756867,0,0,0,0.723934,5.56121,0.0958344,1.40956,0,0,0,0.177351,0,0,0,-4.4311
"MtrElec",1,5,18,"",10.2544,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.02752,6.40183,0.186625,1.5508,0,0,0,0.297641,0,0,0,0
"MtrElec",1,5,19,"",13.6413,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.96163,6.96974,0.247152,1.68395,1.71125,0,0,0.277592,0,0,0,0
"MtrElec",1,5,20,"",13.7833,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.73227,7.32996,0.327854,1.68934,0.762762,0,0,0.151134,0,0,0,0
"MtrElec",1,5,21,"",13.1963,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.63885,7.6419,0.458996,1.6018,0,0,0,0.0647715,0,0,0,0
"MtrElec",1,5,22,"",19.804,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,2.24186,7.58459,0.529611,1.51852,4.95711,0,2.15151,0.0308436,0,0,0,0
"MtrElec",1,5,23,"",14.7537,0,0,0,0,0,0.0330909,0,0,0.756867,0,0,0,1.47122,6.72474,0.458996,1.41951,2.46723,0.908732,0.494762,0.0185061,0,0,0,0
