climate,:climate_zone,:weather_station,:res_metal_wall,:other_floor,:nonres_metal_wall,:wood_framing_roof,:window_u,:window_shgc,:sol_frac
cz01,ClimateZone1,CTZ01S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R9.40;Compliance Insulation R6.00;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R12.00;Compliance Insulation R0.20;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.2
cz02,ClimateZone2,CTZ02S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R20.00;Compliance Insulation R0.20;Compliance Insulation R0.01;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R13.99;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.2
cz03,ClimateZone3,CTZ03S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R8.07;Compliance Insulation R0.50;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R10.00;Compliance Insulation R0.10;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR25,0.36,0.25,0.2
cz04,ClimateZone4,CTZ04S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R8.07;Compliance Insulation R0.50;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R13.99;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.2
cz05,ClimateZone5,CTZ05S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R8.07;Compliance Insulation R0.50;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R13.99;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR25,0.36,0.25,0.2
cz06,ClimateZone6,CTZ06S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R8.07;Compliance Insulation R0.50;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R12.00;Compliance Insulation R0.20;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR20,0.36,0.25,0.2
cz07,ClimateZone7,CTZ07S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR6.00;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R8.07;Compliance Insulation R0.50;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R12.00;Compliance Insulation R0.20;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR25,0.36,0.25,0.2
cz08,ClimateZone8,CTZ08S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R8.07;Compliance Insulation R0.50;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R12.00;Compliance Insulation R0.20;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.2
cz09,ClimateZone9,CTZ09S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R8.07;Compliance Insulation R0.50;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R12.00;Compliance Insulation R0.20;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.2
cz10,ClimateZone10,CTZ10S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R8.07;Compliance Insulation R0.50;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R12.00;Compliance Insulation R0.20;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.35
cz11,ClimateZone11,CTZ11S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R20.00;Compliance Insulation R0.20;Compliance Insulation R0.01;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R12.00;Compliance Insulation R0.20;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.35
cz12,ClimateZone12,CTZ12S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R8.07;Compliance Insulation R0.50;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R10.00;Compliance Insulation R0.01;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.35
cz13,ClimateZone13,CTZ13S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R8.07;Compliance Insulation R0.50;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R12.00;Compliance Insulation R0.20;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.35
cz14,ClimateZone14,CTZ14S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R20.00;Compliance Insulation R0.20;Compliance Insulation R0.01;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R12.00;Compliance Insulation R0.20;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.35
cz15,ClimateZone15,CTZ15S22A,Compliance Insulation R1.00;Compliance Insulation R4.50;Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R20.00;Compliance Insulation R0.20;Compliance Insulation R0.01;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R18.00;Compliance Insulation R0.50;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.35
cz16,ClimateZone16,CTZ16S22A,Gypsum Board - 5/8 in.;WoodFrameWall16inOCCavInsR13;Gypsum Board - 5/8 in.,Concrete - 140 lb/ft3 - 10 in.;Compliance Insulation R20.00;Compliance Insulation R0.20;Compliance Insulation R0.01;Plywood - 5/8 in.;Carpet - 3/4 in.,Stucco - 7/8 in.;Compliance Insulation R18.00;Compliance Insulation R0.50;Compliance Insulation R0.20;Air - Metal Wall Framing - 16 or 24 in. OC;Gypsum Board - 1/2 in.,Roofing felt - 1/8 in.;Building Paper - 1/16 in.;Fiberboard sheathing - 1/2 in.;Compliance Insulation R1.54;Compliance Insulation R1.35;Compliance Insulation R0.20;Compliance Insulation R1.00;Gypsum Board - 1/2 in.;WoodRoof16OCCavInsR27,0.36,0.25,0.35
